id,name,url
1,2000 PRIMARY,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=1
15,2008 PRIMARY,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=15
4,2002 GENERAL,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=4
69,2011 SPECIAL RUNOFF (ASSEMBLY 04),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=69
40,2014 PRIMARY,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=40
27,2006 SPECIAL RUNOFF (STATE SENATE 35),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=27
101,2015 SPECIAL RUNOFF (STATE SENATE 07),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=101
42,2009 SPECIAL ELECTION (STATE SENATE 26),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=42
144,2018 SPECIAL RUNOFF (STATE SENATE 32),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=144
89,2014 SPECIAL ELECTION (STATE SENATE 23),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=89
74,2013 SPECIAL ELECTION (STATE SENATE 40),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=74
37,2008 SPECIAL RUNOFF (ASSEMBLY 55),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=37
77,2013 SPECIAL RUNOFF (STATE SENATE 16),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=77
78,2013 SPECIAL ELECTION (ASSEMBLY 80),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=78
80,2013 SPECIAL RUNOFF (STATE SENATE 32),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=80
134,2018 SPECIAL RUNOFF (ASSEMBLY 39),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=134
19,2005 SPECIAL ELECTION (ASSEMBLY 53),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=19
49,2010 SPECIAL ELECTION (ASSEMBLY 43),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=49
32,2007 SPECIAL ELECTION (ASSEMBLY 55),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=32
28,2007 SPECIAL ELECTION (ASSEMBLY 39),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=28
143,2018 SPECIAL RUNOFF (ASSEMBLY 45),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=143
139,2018 SPECIAL ELECTION (STATE SENATE 29),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=139
62,2018 PRIMARY,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=62
8,2006 GENERAL,http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=8
13,2001 SPECIAL ELECTION (ASSEMBLY 49),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=13
97,2015 SPECIAL ELECTION (STATE SENATE 07),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=97
51,2010 SPECIAL RUNOFF (STATE SENATE 37),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=51
82,2013 SPECIAL ELECTION (ASSEMBLY 52),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=82
72,2012 SPECIAL ELECTION (STATE SENATE 04),http://cal-access.sos.ca.gov/Campaign/Candidates/list.aspx?view=certified&electNav=72
